model,outer_fold,layer,C,inner_mean_auroc,auroc,auprc,macro_f1,balanced_accuracy,n_iter
Qwen2.5-0.5B-Instruct,0,16,1.0,0.9813548988429304,0.9695,0.9731070644588223,0.8996904024767802,0.905,86
Qwen2.5-0.5B-Instruct,1,17,100.0,0.9769671747987716,0.995,0.994028113973557,0.9663299663299663,0.9675,170
Qwen2.5-0.5B-Instruct,2,17,10.0,0.9756953432443906,0.999,0.998765243902439,0.9775,0.9775,161
Qwen2.5-0.5B-Instruct,3,17,10.0,0.9798017725362135,0.99,0.9893216174229027,0.9438832772166106,0.945,111
Qwen2.5-0.5B-Instruct,4,19,0.1,0.9766800329083255,0.9550000000000001,0.9453440915522981,0.897869121170092,0.895,66
Qwen2.5-1.5B-Instruct,0,16,1.0,0.9881957343705207,0.986,0.9828863451246979,0.9552015928322548,0.9575,107
Qwen2.5-1.5B-Instruct,1,21,0.1,0.9888798495294319,0.9884999999999999,0.9846580505063076,0.9552015928322548,0.9575,101
Qwen2.5-1.5B-Instruct,2,21,1.0,0.9909396224518726,0.9964999999999999,0.9957373813804987,0.9663299663299663,0.9675,155
Qwen2.5-1.5B-Instruct,3,26,10.0,0.9851212459397947,0.9910000000000001,0.9894610563812891,0.9547511312217194,0.9525,97
Qwen2.5-1.5B-Instruct,4,22,0.1,0.9920404647242158,0.9715,0.9603190362659139,0.91,0.91,90
